idLoc,idProv,nomLoc,nomZona
11547,4,Juan Galar,CAPITAL
11548,4,La Almona,CAPITAL
11549,4,La Cuesta,CAPITAL
11550,4,Las Capillas,CAPITAL
11551,4,Las Escaleras,CAPITAL
11552,4,Las Higuerillas,CAPITAL
11553,4,Los Alisos,CAPITAL
11554,4,Los Blancos,CAPITAL
11555,4,Nazareno,CAPITAL
11556,4,Reyes,CAPITAL
11557,4,San Pablo De Reyes,CAPITAL
11558,4,San Salvador De Jujuy,CAPITAL
11559,4,Tesorero,CAPITAL
11560,4,Tilquiza,CAPITAL
11561,4,Villa Alberdi,CAPITAL
11562,4,Villa Ciudad De Nieva,CAPITAL
11563,4,Villa Cuyaya,CAPITAL
11564,4,Villa Gorriti,CAPITAL
11565,4,Villa Lujan,CAPITAL
11566,4,Villa Santa Rita,CAPITAL
11567,4,Corral De Piedras,CAPITAL
11568,4,El Arenal,CAPITAL
11569,4,Guerreros,CAPITAL
11570,4,Ituaicochico,CAPITAL
11571,4,Ocloyas,VALLE GRANDE
11572,4,Reyes Villa Jardin,CAPITAL
11573,4,Rio Blanco,CAPITAL
11574,4,Termas De Reyes,CAPITAL
11575,4,Alisos De Abajo,SAN ANTONIO
11576,4,Alisos De Arriba,SAN ANTONIO
11577,4,Catamontaña,EL CARMEN
11578,4,Ceibal,SAN ANTONIO
11579,4,El Carmen Perico De,EL CARMEN
11580,4,El Chucupal,EL CARMEN
11581,4,El Ollero,EL CARMEN
11582,4,El Sunchal,EL CARMEN
11583,4,La Cienaga,EL CARMEN
11584,4,La Ollada,EL CARMEN
11585,4,Las Pircas,EL CARMEN
11586,4,Los Cedros,EL CARMEN
11587,4,Cerro Negro,SAN ANTONIO
11588,4,El Ollero,SAN ANTONIO
11589,4,La Cabaña,SAN ANTONIO
11590,4,La Toma,SAN ANTONIO
11591,4,Paño,SAN ANTONIO
11592,4,Rio Blanco,SAN ANTONIO
11593,4,San Antonio Perico De,SAN ANTONIO
11594,4,Alto Verde,EL CARMEN
11595,4,Colonia Los Lapachos,EL CARMEN
11596,4,El Toba,EL CARMEN
11597,4,Las Cañadas,EL CARMEN
11598,4,Las Pichanas,EL CARMEN
11599,4,Los Lapachos,EL CARMEN
11600,4,Los Manantiales,EL CARMEN
11601,4,Maquinista Veron,EL CARMEN
11602,4,Pampa Blanca,EL CARMEN
11603,4,Pampa Vieja,EL CARMEN
11604,4,Puesto Viejo,SANTA BARBARA
11605,4,Bordo La Isla,EL CARMEN
11606,4,Cadilla,EL CARMEN
11607,4,Campo La Tuna,EL CARMEN
11608,4,Carahunco,CAPITAL
11609,4,Chamical,EL CARMEN
11610,4,Coronel Arias,EL CARMEN
11611,4,El Cabral,EL CARMEN
11612,4,El Cadillal,EL CARMEN
11613,4,El Pongo,EL CARMEN
11614,4,Estacion Perico,EL CARMEN
11615,4,Hornillos,EL CARMEN
11616,4,Kilometro 1129,EL CARMEN
11617,4,La Ovejeria,EL CARMEN
11618,4,La Union,EL CARMEN
11619,4,Lagunilla,EL CARMEN
11620,4,Las Pampitas,EL CARMEN
11621,4,Monte Rico,EL CARMEN
11622,4,Perico,EL CARMEN
11623,4,Perico San Juan,EL CARMEN
11624,4,Pozo De Las Avispas,EL CARMEN
11625,4,San Juancito,EL CARMEN
11626,4,San Rafael,EL CARMEN
11627,4,San Vicente,EL CARMEN
11628,4,Santo Domingo,EL CARMEN
11629,4,Venecias Argentinas,EL CARMEN
11630,4,Villa Argentina,EL CARMEN
11631,4,Centro Forestal,CAPITAL
11632,4,Cerros Zapla,CAPITAL
11633,4,El Brete,CAPITAL
11634,4,El Remate,CAPITAL
11635,4,General Manuel Savio,CAPITAL
11636,4,Juan Manuel De Rosas,CAPITAL
11637,4,Mina 9 De Octubre,CAPITAL
11638,4,Palpala,CAPITAL
11639,4,Puerta De Salas,CAPITAL
11640,4,Zapla,CAPITAL
11641,4,Barcena,TUMBAYA
11642,4,Bomba,TUMBAYA
11643,4,Chañi(Apeadero Fcgb),CAPITAL
11644,4,Chilcayoc,TUMBAYA
11645,4,Kilometro 1183,TUMBAYA
11646,4,Lagunas De Yala,CAPITAL
11647,4,Leon,CAPITAL
11648,4,Lozano,CAPITAL
11649,4,Molinos,HUMAHUACA
11650,4,Tesorero,TUMBAYA
11651,4,Tiraxi,TUMBAYA
11652,4,Volcan,TUMBAYA
11653,4,Yala,CAPITAL
11654,4,Chorrillos,TUMBAYA
11655,4,Colorados,COCHINOCA
11656,4,Condor,TUMBAYA
11657,4,El Colorado,TUMBAYA
11658,4,El Moreno,TUMBAYA
11659,4,El Morro,TUMBAYA
11660,4,Hornillos,TILCARA
11661,4,Huachichocana,TUMBAYA
11662,4,La Aguadita,TUMBAYA
11663,4,La Cienaga,TUMBAYA
11664,4,Minas De Borato,TUMBAYA
11665,4,Pueblo Pla,TUMBAYA
11666,4,Puerta De Lipan,TUMBAYA
11667,4,Puna De Jujuy,TUMBAYA
11668,4,Punta Canal,TUMBAYA
11669,4,Punta Corral,TUMBAYA
11670,4,Purmamarca,TUMBAYA
11671,4,San Bernardo,TUMBAYA
11672,4,San Jose Del Chañi,TUMBAYA
11673,4,Santa Rosa,TUMBAYA
11674,4,Tres Morros,TUMBAYA
11675,4,Triunvirato,TUMBAYA
11676,4,Tumbaya,TUMBAYA
11677,4,Tumbaya Grande,TUMBAYA
11678,4,Tunalito,TUMBAYA
11679,4,Abra Mayo,TILCARA
11680,4,Bella Vista,TILCARA
11681,4,Cachihuaico,TILCARA
11682,4,El Callejon,TILCARA
11683,4,Las Chicapenas,TILCARA
11684,4,Maimara,TILCARA
11685,4,Punta Del Campo,TILCARA
11686,4,San Pedrito,TILCARA
11687,4,Tacta,TILCARA
11688,4,Yerba Buena,TILCARA
11689,4,Alfarcito,TILCARA
11690,4,Cañas,TILCARA
11691,4,Chucalezna,HUMAHUACA
11692,4,El Durazno,TILCARA
11693,4,Huichaira,TILCARA
11694,4,Juella,TILCARA
11695,4,Kilometro 1243,TILCARA
11696,4,La Banda,TILCARA
11697,4,Molulo,VALLE GRANDE
11698,4,Pucara,HUMAHUACA
11699,4,Puesto,TILCARA
11700,4,Quebrada Huasamayo,TILCARA
11701,4,Tilcara,TILCARA
11702,4,Yala De Monte Carmelo,VALLE GRANDE
11703,4,Angosto Del Perchel,TILCARA
11704,4,Cañas,HUACALERA
11705,4,Capla,HUMAHUACA
11706,4,Chorrillos,TILCARA
11707,4,Huacalera,TILCARA
11708,4,San Jose,TILCARA
11709,4,Senador Perez,HUMAHUACA
11710,4,Uquia,HUMAHUACA
11711,4,Villa Del Perchel,TILCARA
11712,4,Aparzo,HUMAHUACA
11713,4,Balliazo,HUMAHUACA
11714,4,Calete,HUMAHUACA
11715,4,Condor,HUMAHUACA
11716,4,Coraya,HUMAHUACA
11717,4,Hornaditas,HUMAHUACA
11718,4,Humahuaca,HUMAHUACA
11719,4,Km 1289,HUMAHUACA
11720,4,Ocumazo,HUMAHUACA
11721,4,Ovara,HUMAHUACA
11722,4,Quimazo,HUMAHUACA
11723,4,San Andres,HUMAHUACA
11724,4,San Roque,HUMAHUACA
11725,4,Azul Pampa,HUMAHUACA
11726,4,Baliazo,HUMAHUACA
11727,4,Caspala,VALLE GRANDE
11728,4,Chorcan,HUMAHUACA
11729,4,Cianzo,HUMAHUACA
11730,4,Coctaca,HUMAHUACA
11731,4,Doglonzo,HUMAHUACA
11732,4,Palca De Aparzo,HUMAHUACA
11733,4,Rodero,HUMAHUACA
11734,4,Ronque,HUMAHUACA
11735,4,Santa Ana,VALLE GRANDE
11736,4,Valle Colorado,VALLE GRANDE
11737,4,Varas,HUMAHUACA
11738,4,Abralaite,COCHINOCA
11739,4,Antumpa,HUMAHUACA
11740,4,Casayock,HUMAHUACA
11741,4,Casilla,HUMAHUACA
11742,4,Chaupi Rodero,HUMAHUACA
11743,4,Hipolito Yrigoyen,HUMAHUACA
11744,4,Iturbe,HUMAHUACA
11745,4,La Cueva,HUMAHUACA
11746,4,La Cueva,YAVI
11747,4,Miyuyoc,HUMAHUACA
11748,4,Peñas Blancas,HUMAHUACA
11749,4,Peñas Blancas,RINCONADA
11750,4,Pueblo Viejo,EL CARMEN
11751,5,Astillero,IRUYA
11752,5,Cancillar,IRUYA
11753,5,Casa Grande,IRUYA
11754,5,Chacar,IRUYA
11755,5,Chiyayos,IRUYA
11756,5,Colamsuli,IRUYA
11757,4,Coranzulli,SUSQUES
11758,5,Cortaderas,IRUYA
11759,5,Finca Santiago,IRUYA
11760,5,Higueras,IRUYA
11761,5,Iruya,IRUYA
11762,5,La Huerta,IRUYA
11763,5,Matansillas,IRUYA
11764,5,Pinal,IRUYA
11765,5,Rodeo Colorado,IRUYA
11766,5,San Antonio,IRUYA
11767,5,San Antonio De Iruya,IRUYA
11768,5,San Isidro De Iruya,IRUYA
11769,5,San Juan,IRUYA
11770,5,San Pedro,IRUYA
11771,4,San Pedro De Iruya,HUMAHUACA
11772,5,Tipayoc,IRUYA
11773,5,Uchogol,IRUYA
11774,5,Villa Alem,IRUYA
11775,4,Volcan Higuera,HUMAHUACA
11776,5,Volcan Higueras,IRUYA
11777,4,El Aguilar,HUMAHUACA
11778,4,Km 1321,HUMAHUACA
11779,4,La Veta,HUMAHUACA
11780,4,Quera,COCHINOCA
11781,4,Tejadas,HUMAHUACA
11782,4,Tres Cruces,HUMAHUACA
11783,4,Veta Mina Aguilar,HUMAHUACA
11784,4,Abra Pampa,COCHINOCA
11785,4,Agua Chica,COCHINOCA
11786,4,Agua Chica,TUMBAYA
11787,4,Catari,COCHINOCA
11788,4,Cerro Chico,COCHINOCA
11789,4,Chorojra,COCHINOCA
11790,4,Estacion Zootecnica,COCHINOCA
11791,4,La Banda,COCHINOCA
11792,4,La Falda,COCHINOCA
11793,4,Lagunillas,RINCONADA
11794,4,Lumara,COCHINOCA
11795,4,Mira Flores,COCHINOCA
11796,4,Miraflores De La Candelaria,COCHINOCA
11797,4,Puerta Potrero,COCHINOCA
11798,4,Rumi Cruz,COCHINOCA
11799,4,San Jose De Miraflores,COCHINOCA
11800,4,Santuario,COCHINOCA
